qid,category,status_code,latency_ms,route,expected_route,route_ok,intent_family,expected_intent,intent_ok,sql_operation,expected_sql_operation,op_ok,row_count,sql_data_ok,rag_source_ok,ml_source_seen,recommendation_refs_count,recommendation_ok,warnings_count,failure_category,confidence,has_kpi_cards,has_table,has_chart,has_comparison_table,has_recommendations,has_limits_block,has_summary,question,answer_preview
A11,SQL factual,200,13173.36,SQL_ONLY,SQL_ONLY,True,POSTHARVEST_AVAILABLE_LOTS,POSTHARVEST_AVAILABLE_LOTS,True,,get_available_postharvest_lots,False,,True,True,False,0,True,0,SQL_OPERATION_ERROR,0.94,True,True,True,False,False,True,True,Combien de lots sont prêts pour transformation ?,1. Données mesurées | Lots post-récolte disponibles: 2. Exemple LOT-MILX-001 (Mil) 30.0 kg -> 5.0 kg. |  | 2. Interprétation | Aucune explication détaillée disponible. |  | 3. Limites | - Avertissement de fiabilité
A12,SQL factual,200,10646.27,SQL_ONLY,SQL_ONLY,True,factual_sql,POSTHARVEST_AVAILABLE_LOTS,False,,get_available_postharvest_lots,False,,True,True,False,0,True,1,SQL_OPERATION_ERROR,0.26,True,False,False,False,False,True,True,Liste les lots avec quantité restante faible.,1. Réponse directe | Cette requête opérationnelle n’est pas encore mappée à une opération SQL fiable. |  | 2. Interprétation opérationnelle | Aucune explication détaillée disponible. |  | 3. Preuves | - SQL: batche
A13,SQL factual,200,13876.89,SQL_ONLY,SQL_ONLY,True,STOCK_CURRENT,STOCK_CURRENT,True,,get_current_stock,False,,True,True,False,0,True,1,SQL_OPERATION_ERROR,0.94,True,True,True,False,False,True,True,Quel est le stock du produit milx ?,"1. Données mesurées | La coopérative dispose actuellement de 223.0 kg de stock disponible répartis sur 4 produits. Le produit le plus disponible est Bissap avec 78.0 kg. Détail qualité: Grade A 78.0 kg,"
A14,SQL factual,200,13688.3,SQL_ONLY,SQL_ONLY,True,STOCK_CURRENT,STOCK_CURRENT,True,,get_current_stock,False,,True,True,False,0,True,0,SQL_OPERATION_ERROR,0.94,True,True,True,False,False,True,True,Quel est le stock du produit mangue ?,"1. Données mesurées | La coopérative dispose actuellement de 43.0 kg de stock disponible répartis sur 1 produits. Le produit le plus disponible est Mangue avec 43.0 kg. Détail qualité: Grade A 43.0 kg, "
A15,SQL factual,200,10305.22,SQL_ONLY,SQL_ONLY,True,STOCK_CURRENT,STOCK_CURRENT,True,,get_current_stock,False,,True,True,False,0,True,1,SQL_OPERATION_ERROR,0.94,True,True,True,False,False,True,True,Tableau stock par produit avec total/réservé/disponible.,"1. Données mesurées | La coopérative dispose actuellement de 223.0 kg de stock disponible répartis sur 4 produits. Le produit le plus disponible est Bissap avec 78.0 kg. Détail qualité: Grade A 78.0 kg,"
B01,Material balance,200,8650.39,SQL_ONLY,SQL_ONLY,True,LOSS_RANKING,LOSS_RANKING,True,,get_canonical_material_balance,False,,True,True,False,0,True,0,SQL_OPERATION_ERROR,0.94,True,True,True,False,False,True,True,Quel lot a la perte la plus élevée ?,1. Données mesurées | Le lot le plus critique est LOT-MILX-001 avec 74.1% de perte et une efficacité de 25.9%. |  | 2. Interprétation | Classement établi par perte (%) et efficacité (%). |  | 3. Limites | - Avertis
B02,Material balance,200,8837.89,SQL_ONLY,SQL_ONLY,True,INPUT_OUTPUT_GAP,INPUT_OUTPUT_GAP,True,,get_canonical_material_balance,False,,True,True,False,0,True,0,SQL_OPERATION_ERROR,0.94,True,True,True,False,False,True,True,Quel lot a le plus grand écart entrée/sortie ?,"1. Données mesurées | Le lot le plus critique est LOT-MILX-001 avec 74.1% de perte et une efficacité de 25.9%. |  | 2. Interprétation | Classement établi par écart de quantité (kg), puis perte (%). |  | 3. Limite"
B03,Material balance,200,15170.28,SQL_ONLY,SQL_ONLY,True,STAGE_LOSS_ANALYSIS,STAGE_LOSS_ANALYSIS,True,,get_stage_loss_analysis,False,,True,True,False,0,True,0,SQL_OPERATION_ERROR,0.94,False,True,True,False,False,True,True,Quelle étape a la plus mauvaise efficacité ?,1. Données mesurées | Étape la moins efficace: Tri (efficacité moyenne 25.9%). |  | 2. Interprétation | Aucune explication détaillée disponible. |  | 3. Limites | - Avertissement de fiabilité: informations partiell
B04,Material balance,200,9827.33,SQL_ONLY,SQL_ONLY,True,LOT_COMPARISON,LOT_COMPARISON,True,,get_canonical_material_balance_for_lots,False,,True,True,False,0,True,0,SQL_OPERATION_ERROR,0.94,True,False,False,True,False,True,True,Compare LOT-MILX-001 et LOT-MANG-001 en perte et efficacité.,1. Données mesurées | Le lot le plus critique est LOT-MILX-001 avec 74.1% de perte et une efficacité de 25.9%. |  | 2. Interprétation | Comparaison côte à côte des lots demandés sur les mêmes métriques. |  | 3. L
B05,Material balance,200,14553.75,SQL_ONLY,SQL_ONLY,True,LOSS_RANKING,LOSS_RANKING,True,,get_canonical_material_balance,False,,True,True,False,0,True,0,SQL_OPERATION_ERROR,0.94,True,True,True,False,False,True,True,Classe les lots du pire au meilleur selon la perte.,1. Données mesurées | Le lot le plus critique est LOT-MILX-001 avec 74.1% de perte et une efficacité de 25.9%. |  | 2. Interprétation | Classement établi par perte (%) et efficacité (%). |  | 3. Limites | - Avertis
B06,Material balance,200,8864.59,SQL_ONLY,SQL_ONLY,True,INPUT_OUTPUT_GAP,INPUT_OUTPUT_GAP,True,,get_canonical_material_balance,False,,True,True,False,0,True,0,SQL_OPERATION_ERROR,0.94,True,True,True,False,False,True,True,Classe les lots par écart de matière en kg.,"1. Données mesurées | Le lot le plus critique est LOT-MILX-001 avec 74.1% de perte et une efficacité de 25.9%. |  | 2. Interprétation | Classement établi par écart de quantité (kg), puis perte (%). |  | 3. Limite"
B07,Material balance,200,8702.01,SQL_ONLY,SQL_ONLY,True,INPUT_OUTPUT_GAP,LOSS_RANKING,False,,get_canonical_material_balance,False,,True,True,False,0,True,0,SQL_OPERATION_ERROR,0.94,True,True,True,False,False,True,True,"Bilan matière global: entrée, sortie, perte, efficacité.","1. Données mesurées | Le lot le plus critique est LOT-MILX-001 avec 74.1% de perte et une efficacité de 25.9%. |  | 2. Interprétation | Classement établi par écart de quantité (kg), puis perte (%). |  | 3. Limite"
B08,Material balance,200,9870.94,SQL_ONLY,SQL_ONLY,True,STAGE_LOSS_ANALYSIS,STAGE_LOSS_ANALYSIS,True,,get_stage_loss_analysis,False,,True,True,False,0,True,0,SQL_OPERATION_ERROR,0.94,False,False,False,False,False,False,True,Quelle étape concentre le plus de pertes ?,Étape la moins efficace: Tri | efficacité moyenne 25.9% | perte moyenne 74.1%.
B09,Material balance,200,8883.2,SQL_ONLY,SQL_ONLY,True,LOSS_RANKING,LOSS_RANKING,True,,get_canonical_material_balance,False,,True,True,False,0,True,0,SQL_OPERATION_ERROR,0.94,True,True,True,False,False,True,True,Top 3 lots avec pertes les plus élevées.,1. Données mesurées | Le lot le plus critique est LOT-MILX-001 avec 74.1% de perte et une efficacité de 25.9%. |  | 2. Interprétation | Classement établi par perte (%) et efficacité (%). |  | 3. Limites | - Avertis
B10,Material balance,200,8838.28,SQL_ONLY,SQL_ONLY,True,factual_sql,LOT_COMPARISON,False,,get_canonical_material_balance_for_lots,False,,True,True,False,0,True,1,SQL_OPERATION_ERROR,0.26,True,True,False,False,False,True,True,Table comparative des lots critiques en perte/efficacité.,1. Réponse directe | Cette requête opérationnelle n’est pas encore mappée à une opération SQL fiable. |  | 2. Interprétation opérationnelle | Aucune explication détaillée disponible. |  | 3. Preuves | - SQL: batche
C01,RAG best-practice,200,15443.02,RAG_ONLY,RAG_ONLY,True,BEST_PRACTICES,BEST_PRACTICES,True,,,True,,True,True,False,0,True,2,NO_FAILURE,0.12,False,False,False,False,False,True,True,Quelles erreurs faut-il éviter pendant le tri du mil ?,Je n’ai pas assez de contexte documentaire fiable pour répondre précisément à cette question.
C02,RAG best-practice,200,5931.3,RAG_ONLY,RAG_ONLY,True,BEST_PRACTICES,BEST_PRACTICES,True,,,True,,True,True,False,0,True,0,NO_FAILURE,0.6100000000000001,False,False,False,False,False,False,True,Donne une checklist avant l'emballage des mangues.,Résumé |  | Checklist pratique | -  for Mil in West Africa | - Senegal. storage after conditioning. . Après conditionnement | - le stockage recommandé utilise des zones sèches et ventilées | - des palettes séparé
C03,RAG best-practice,200,4166.72,RAG_ONLY,RAG_ONLY,True,BEST_PRACTICES,BEST_PRACTICES,True,,,True,,True,True,False,0,True,0,NO_FAILURE,0.6100000000000001,False,False,False,False,False,True,True,Quelles précautions de stockage après conditionnement ?,Résumé | Conseils pratiques basés sur la base de connaissances post-récolte. |  | Checklist pratique | -  for Mil in West Africa | - Senegal. storage after conditioning. . Après conditionnement | - le stockage re
C04,RAG best-practice,200,11419.05,HYBRID_SQL_RAG,RAG_ONLY,False,hybrid_analysis,BEST_PRACTICES,False,,,True,,True,True,False,0,True,4,ROUTING_ERROR,0.515,False,False,False,False,False,True,True,Bonnes pratiques de séchage pour limiter les pertes ?,"1. Données mesurées |  | 2. Analyse | Conseil pratique (RAG):  for Mangue in Thies, Senegal. Séchage. DEMOFP-SRC-KNOW-001. [DEMOFP] Contrôler humidité finale < 15% et homogénéiser la circulation d'a... |  | 3. "
C05,RAG best-practice,200,42447.05,HYBRID_SQL_RAG,RAG_ONLY,False,EXPLANATION_CAUSAL,BEST_PRACTICES,False,,,True,,True,True,False,0,True,5,ROUTING_ERROR,0.09000000000000002,False,False,False,False,False,True,True,Comment réduire les pertes post-récolte au tri ?,1. Données mesurées | Étape la moins efficace: Tri (efficacité moyenne 25.9%). |  | 2. Analyse | Aucune explication détaillée disponible. |  | 3. Limites | - Le contexte documentaire est limité pour cette question.
C06,RAG best-practice,200,14003.25,RAG_ONLY,RAG_ONLY,True,BEST_PRACTICES,BEST_PRACTICES,True,,,True,,True,True,False,0,True,2,NO_FAILURE,0.12,False,False,False,False,False,True,True,Checklist qualité avant commercialisation d'un lot ?,Je n’ai pas assez de contexte documentaire fiable pour répondre précisément à cette question.
C07,RAG best-practice,200,24453.6,RAG_ONLY,RAG_ONLY,True,BEST_PRACTICES,BEST_PRACTICES,True,,,True,,True,True,False,0,True,0,NO_FAILURE,0.6100000000000001,False,False,False,False,False,True,True,Meilleures pratiques de manutention pour éviter la casse ?,Résumé | Conseils pratiques basés sur la base de connaissances post-récolte. |  | Checklist pratique | -  for Mil in West Africa | - Senegal. conditioning standard procedure. . Une procédure simple de condition
C08,RAG best-practice,200,21887.84,RAG_ONLY,RAG_ONLY,True,BEST_PRACTICES,BEST_PRACTICES,True,,,True,,True,True,False,0,True,2,NO_FAILURE,0.12,False,False,False,False,False,True,True,Conseils standards pour limiter humidité et contamination ?,Je n’ai pas assez de contexte documentaire fiable pour répondre précisément à cette question.
D01,Hybrid SQL+RAG,200,20962.71,HYBRID_SQL_RAG,HYBRID_SQL_RAG,True,EXPLANATION_CAUSAL,EXPLANATION_CAUSAL,True,,,True,,True,True,False,0,True,5,WARNING_NOISE,0.09000000000000002,False,False,False,False,False,False,True,Comment réduire les pertes pendant le séchage avec nos données actuelles ?,Donnée non disponible pour cette requête précise. |  | Les données disponibles ne permettent pas de confirmer ce point.
D02,Hybrid SQL+RAG,200,10716.25,HYBRID_SQL_RAG,HYBRID_SQL_RAG,True,EXPLANATION_CAUSAL,EXPLANATION_CAUSAL,True,,,True,,True,True,False,0,True,2,NO_FAILURE,0.41,True,False,False,False,False,True,True,Pourquoi LOT-MILX-001 a une mauvaise efficacité et que corriger ?,"1. Données mesurées | Lot LOT-MILX-001: entrée 27.0 kg, sortie 7.0 kg, perte 74.1% et efficacité 25.9%. |  | 2. Analyse | Mesures SQL: perte 74.1% et efficacité 25.9% Le contexte documentaire est insuffisant "
D03,Hybrid SQL+RAG,200,9903.62,HYBRID_SQL_RAG,HYBRID_SQL_RAG,True,BEST_PRACTICES,EXPLANATION_CAUSAL,False,,,True,,True,True,False,0,True,2,NO_FAILURE,0.41,True,True,False,False,False,True,True,"Selon nos données, où perd-on le plus et comment améliorer ?",1. Données mesurées | On perd le plus à l’étape tri sur le lot LOT-MILX-001: 74.1%. Action: renforcer le contrôle à cette étape sur le prochain lot et corriger la cause principale. |  | 2. Analyse | Mesures S
D04,Hybrid SQL+RAG,200,10183.41,HYBRID_SQL_RAG,HYBRID_SQL_RAG,True,EXPLANATION_CAUSAL,EXPLANATION_CAUSAL,True,,,True,,True,True,False,0,True,5,WARNING_NOISE,0.09000000000000002,False,False,False,False,False,True,True,Perte élevée à l'emballage: causes SQL et bonnes pratiques associées ?,1. Données mesurées | Étape la moins efficace: Emballage / Conditionnement (efficacité moyenne 100.0%). |  | 2. Analyse | Aucune explication détaillée disponible. |  | 3. Limites | - Le contexte documentaire est li
D05,Hybrid SQL+RAG,200,8779.42,SQL_ONLY,HYBRID_SQL_RAG,False,factual_sql,EXPLANATION_CAUSAL,False,,,True,,True,False,False,0,True,1,ROUTING_ERROR,0.26,False,True,False,False,False,True,True,Quel stage prioriser pour baisse de pertes et quelles pratiques appliquer ?,1. Réponse directe | Cette requête opérationnelle n’est pas encore mappée à une opération SQL fiable. |  | 2. Interprétation opérationnelle | Aucune explication détaillée disponible. |  | 3. Preuves | - SQL: proces
D06,Hybrid SQL+RAG,200,10038.49,HYBRID_SQL_RAG,HYBRID_SQL_RAG,True,EXPLANATION_CAUSAL,EXPLANATION_CAUSAL,True,,,True,,True,True,False,0,True,2,NO_FAILURE,0.41,True,False,False,False,False,True,True,Explique les pertes du lot le plus critique avec conseils concrets.,1. Données mesurées | Le lot le plus critique est LOT-MILX-001 avec 74.1% de perte et une efficacité de 25.9%. |  | 2. Analyse | Mesures SQL: perte 5.0% et efficacité 95.0% Le contexte documentaire est insuff
D07,Hybrid SQL+RAG,200,14091.41,HYBRID_FULL,HYBRID_SQL_RAG,False,RECOMMENDATION,EXPLANATION_CAUSAL,False,,,True,,True,True,True,4,True,3,ROUTING_ERROR,0.4275,True,False,False,False,True,True,True,Actions post-récolte recommandées selon les pertes observées par étape.,"1. Données mesurées | Lot LOT-MANG-001: entrée 80.0 kg, sortie 76.0 kg, perte 5.0%. |  | 2. Signal ML | Signal ML disponible (HIGH). |  | 3. Recommandations validées | - Isoler le lot LOT-MILX-001 et renforcer le c"
E01,Recommendations,200,10662.79,SQL_ONLY,HYBRID_FULL,False,factual_sql,RECOMMENDATION,False,,,True,,True,False,False,0,False,1,ROUTING_ERROR,0.26,True,False,False,False,False,True,True,Donne 3 actions pour réduire la perte de LOT-MILX-001 avec les preuves utilisées.,1. Réponse directe | Cette requête opérationnelle n’est pas encore mappée à une opération SQL fiable. |  | 2. Interprétation opérationnelle | Aucune explication détaillée disponible. |  | 3. Preuves | - SQL: batche
E02,Recommendations,200,8356.28,SQL_ONLY,HYBRID_FULL,False,factual_sql,RECOMMENDATION,False,,,True,,True,False,False,0,False,3,ROUTING_ERROR,0.26,False,False,False,False,False,False,True,Quelles priorités hebdomadaires pour améliorer le rendement global ?,Donnée non disponible pour cette requête précise.
E03,Recommendations,200,11266.89,HYBRID_FULL,HYBRID_FULL,True,action_recommendation,RECOMMENDATION,False,,,True,,True,True,True,4,True,3,NO_FAILURE,0.4275,True,False,False,False,True,True,True,Recommandations pour le lot le plus critique avec sources SQL/RAG/ML.,1. Données mesurées | Lot LOT-BISS-001: perte 100.0% et efficacité 0.0%. |  | 2. Signal ML | Signal ML disponible (HIGH). |  | 3. Recommandations validées | - Isoler le lot LOT-BISS-001 et renforcer le contrôle à l
E04,Recommendations,200,12809.05,HYBRID_FULL,HYBRID_FULL,True,action_recommendation,RECOMMENDATION,False,,,True,,True,True,True,4,True,3,NO_FAILURE,0.41999999999999993,True,False,False,False,True,True,True,Actions immédiates par étape pour réduire la perte cette semaine.,1. Données mesurées | Conclusion: Les données SQL ne permettent pas d’identifier un lot prioritaire. | Signal ML: le modèle indique un risque HIGH (anomaly_score 0.0000). | La base de connaissances RAG n’ap
E05,Recommendations,200,1531.74,RECOMMENDATION_ONLY,HYBRID_FULL,False,RECOMMENDATION,RECOMMENDATION,True,,,True,,False,False,False,0,False,0,ROUTING_ERROR,0.23,False,False,False,False,False,False,True,Plan d'action manager: 5 recommandations justifiées par evidence_refs.,Je ne peux pas générer de recommandations fiables sans données vérifiables. |  | Les données disponibles ne permettent pas de confirmer ce point.
F01,Memory/follow-up,200,9052.25,SQL_ONLY,SQL_ONLY,True,LOSS_RANKING,LOSS_RANKING,True,,,True,,True,True,False,0,True,0,NO_FAILURE,0.94,True,True,True,False,False,True,True,Quel lot a la perte la plus élevée ?,1. Données mesurées | Le lot le plus critique est LOT-MILX-001 avec 74.1% de perte et une efficacité de 25.9%. |  | 2. Interprétation | Classement établi par perte (%) et efficacité (%). |  | 3. Limites | - Avertis
F02,Memory/follow-up,200,10799.72,HYBRID_FULL,HYBRID_FULL,True,FOLLOW_UP,FOLLOW_UP,True,,,True,,True,True,True,2,True,4,WARNING_NOISE,0.21250000000000002,True,False,False,False,True,True,True,Quelles actions pour ce lot ?,"1. Données mesurées | Lot LOT-MILX-001: entrée 27.0 kg, sortie 7.0 kg, perte 74.1%. |  | 2. Signal ML | Signal ML disponible (MEDIUM). |  | 3. Recommandations validées | - Isoler le lot LOT-MILX-001 et renforcer le"
F03,Memory/follow-up,200,9952.09,HYBRID_SQL_RAG,HYBRID_SQL_RAG,True,FOLLOW_UP,FOLLOW_UP,True,,,True,,True,True,False,0,True,2,NO_FAILURE,0.41,True,False,False,False,False,True,True,Ajoute les bonnes pratiques de tri pour ce lot.,"1. Données mesurées | Pour ce lot: Lot LOT-MILX-001: entrée 27.0 kg, sortie 7.0 kg, perte 74.1% et efficacité 25.9%. |  | 2. Analyse | Mesures SQL: perte 74.1% et efficacité 25.9% Le contexte documentaire est"
F04,Memory/follow-up,200,8971.85,SQL_ONLY,SQL_ONLY,True,STOCK_CURRENT,STOCK_CURRENT,True,,,True,,True,True,False,0,True,0,NO_FAILURE,0.94,True,True,True,False,False,True,True,Oublie ce lot et montre seulement le stock de mangue.,"1. Données mesurées | La coopérative dispose actuellement de 43.0 kg de stock disponible répartis sur 1 produits. Le produit le plus disponible est Mangue avec 43.0 kg. Détail qualité: Grade A 43.0 kg, "
F05,Memory/follow-up,200,8698.86,SQL_ONLY,SQL_ONLY,True,STOCK_CURRENT,STOCK_CURRENT,True,,,True,,True,True,False,0,True,0,NO_FAILURE,0.94,True,True,True,False,False,True,True,Maintenant stock global par produit.,"1. Données mesurées | La coopérative dispose actuellement de 223.0 kg de stock disponible répartis sur 4 produits. Le produit le plus disponible est Bissap avec 78.0 kg. Détail qualité: Grade A 78.0 kg,"
